Year,Dollar Value,Inflation Rate %,,,
2021,1.77,4.42,,,
2020,1.7,1.23,,,
2019,1.68,1.76,,,
2018,1.65,2.49,,,
2017,1.61,2.13,,,
2016,1.57,1.26,,,
2015,1.56,0.12,,,
2014,1.55,1.62,,,
2013,1.53,1.46,,,
2012,1.51,2.07,,,
2011,1.48,3.16,,,
2010,1.43,1.64,,,
2009,1.41,0.01,,,
2008,1.41,3.84,,,
2007,1.36,2.85,,,
2006,1.32,3.23,,,
2005,1.28,3.39,,,
2004,1.24,2.66,,,
2003,1.21,2.28,,,
2002,1.18,1.58,,,
2001,1.16,2.85,,,
2000,1.13,3.36,,,
1999,1.09,2.21,,,
1998,1.07,1.56,,,
1997,1.05,2.29,,,
1996,1.03,2.95,,,
1995,1,2.83,,,
